#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2021 01 01 00 00 999 99.0 99.0  3.05 15.38  9.07 277 9999.0 999.0  11.0 999.0 99.0 99.00
2021 01 01 00 30 999 99.0 99.0  3.25 15.38  9.92 275 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 01 01 00 999 99.0 99.0  3.20 16.67 10.19 277 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 01 01 30 999 99.0 99.0  3.20 15.38 10.15 276 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 01 02 00 999 99.0 99.0  3.17 15.38 10.42 275 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 01 02 30 999 99.0 99.0  2.99 15.38 10.11 277 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 01 03 00 999 99.0 99.0  2.94 15.38 10.07 275 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 01 03 30 999 99.0 99.0  3.07 16.67 10.37 276 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 01 04 00 999 99.0 99.0  3.00 15.38 10.31 273 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 01 04 30 999 99.0 99.0  2.83 13.33  9.62 278 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 01 05 00 999 99.0 99.0  2.87 15.38  9.84 275 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 01 05 30 999 99.0 99.0  2.75 15.38  9.38 277 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 01 06 00 999 99.0 99.0  2.79 15.38  9.51 267 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 01 06 30 999 99.0 99.0  2.80 15.38  9.79 271 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 01 07 00 999 99.0 99.0  2.87 12.50  9.56 278 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 01 07 30 999 99.0 99.0  2.67 12.50  9.78 276 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 01 08 00 999 99.0 99.0  2.61 15.38 10.02 272 9999.0 999.0  10.8 999.0 99.0 99.00
2021 01 01 08 30 999 99.0 99.0  2.80 14.29 10.39 273 9999.0 999.0  10.8 999.0 99.0 99.00
2021 01 01 09 00 999 99.0 99.0  2.59 16.67  9.87 270 9999.0 999.0  10.8 999.0 99.0 99.00
2021 01 01 09 30 999 99.0 99.0  2.90 15.38 10.20 272 9999.0 999.0  10.8 999.0 99.0 99.00
2021 01 01 10 00 999 99.0 99.0  2.81 15.38 10.44 272 9999.0 999.0  10.8 999.0 99.0 99.00
2021 01 01 10 30 999 99.0 99.0  2.74 16.67 10.36 274 9999.0 999.0  10.7 999.0 99.0 99.00
