#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2022 01 01 00 30 999 99.0 99.0  2.03  5.88  5.72 290 9999.0  10.5  11.3 999.0 99.0 99.00
2022 01 01 01 00 999 99.0 99.0  1.99  5.56  5.66 289 9999.0  10.3  11.2 999.0 99.0 99.00
2022 01 01 01 30 999 99.0 99.0  1.96  5.88  5.59 291 9999.0  10.2  11.2 999.0 99.0 99.00
2022 01 01 02 00 999 99.0 99.0  1.89  6.67  5.50 290 9999.0  10.1  11.2 999.0 99.0 99.00
2022 01 01 02 30 999 99.0 99.0  1.76  5.71  5.32 293 9999.0  10.0  11.2 999.0 99.0 99.00
2022 01 01 03 00 999 99.0 99.0  1.73  8.33  5.59 287 9999.0   9.8  11.2 999.0 99.0 99.00
2022 01 01 03 30 999 99.0 99.0  1.65 10.53  5.55 289 9999.0   9.8  11.2 999.0 99.0 99.00
2022 01 01 04 00 999 99.0 99.0  1.60  6.06  5.75 288 9999.0  10.2  11.2 999.0 99.0 99.00
2022 01 01 04 30 999 99.0 99.0  1.67  8.00  5.76 285 9999.0  10.0  11.2 999.0 99.0 99.00
2022 01 01 05 00 999 99.0 99.0  1.62  8.33  5.66 283 9999.0   9.9  11.2 999.0 99.0 99.00
2022 01 01 05 30 999 99.0 99.0  1.63  7.14  5.66 291 9999.0   9.6  11.2 999.0 99.0 99.00
2022 01 01 06 00 999 99.0 99.0  1.56  7.41  5.68 288 9999.0   9.5  11.2 999.0 99.0 99.00
2022 01 01 06 30 999 99.0 99.0  1.48  8.00  5.79 289 9999.0   9.3  11.2 999.0 99.0 99.00
2022 01 01 07 00 999 99.0 99.0  1.48  7.14  5.51 291 9999.0   9.4  11.1 999.0 99.0 99.00
2022 01 01 07 30 999 99.0 99.0  1.44 11.76  5.77 288 9999.0   9.5  11.2 999.0 99.0 99.00
2022 01 01 08 00 999 99.0 99.0  1.49 11.76  6.07 288 9999.0   9.3  11.2 999.0 99.0 99.00
2022 01 01 08 30 999 99.0 99.0  1.31  8.00  5.63 289 9999.0   9.2  11.1 999.0 99.0 99.00
2022 01 01 09 00 999 99.0 99.0  1.38  9.09  6.11 284 9999.0   9.0  11.1 999.0 99.0 99.00
2022 01 01 09 30 999 99.0 99.0  1.42 11.76  6.41 284 9999.0   8.8  11.1 999.0 99.0 99.00
2022 01 01 10 00 999 99.0 99.0  1.44  8.00  6.70 286 9999.0   8.9  11.1 999.0 99.0 99.00
2022 01 01 10 30 999 99.0 99.0  1.42  8.00  6.77 284 9999.0   8.7  11.0 999.0 99.0 99.00
2022 01 01 11 00 999 99.0 99.0  1.40  8.33  6.80 283 9999.0   8.8  11.0 999.0 99.0 99.00
2022 01 01 11 30 999 99.0 99.0  1.38  8.33  6.74 287 9999.0   8.7  10.8 999.0 99.0 99.00
2022 01 01 12 00 999 99.0 99.0  1.41  8.33  6.53 286 9999.0   8.7  10.9 999.0 99.0 99.00
2022 01 01 12 30 999 99.0 99.0  1.36  8.00  6.57 284 9999.0   9.0  10.9 999.0 99.0 99.00
2022 01 01 13 00 999 99.0 99.0  1.40 11.11  6.70 275 9999.0   9.2  11.0 999.0 99.0 99.00
2022 01 01 13 30 999 99.0 99.0  1.31  7.69  6.58 283 9999.0   9.1  10.9 999.0 99.0 99.00
2022 01 01 14 00 999 99.0 99.0  1.27 11.76  6.68 281 9999.0   9.0  10.9 999.0 99.0 99.00
2022 01 01 14 30 999 99.0 99.0  1.26  8.33  6.68 281 9999.0   9.1  10.9 999.0 99.0 99.00
